Station ID                RECORD PERIOD   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    YEAR
LAKEWOOD                  | 1962-2010 |   7.4   7.2  11.2   7.4   1.0   0.0   0.0   0.0   0.9   3.9   7.9   7.9    54.8
LAMAR                     | 1948-2010 |   5.8   4.3   5.9   1.8   0.0   0.0   0.0   0.0   0.0   1.1   3.5   4.9    27.3
LAS ANIMAS                | 1948-2010 |   4.2   3.2   4.2   1.0   0.1   0.0   0.0   0.0   0.0   0.9   2.6   3.8    20.0
LA VETA                   | 1963-1971 |   9.3  20.9  24.0  13.8   1.0   0.0   0.0   0.0   1.0   7.8   5.8  16.4   100.0
LEADVILLE                 | 1948-1982 |  16.8  13.0  16.8  14.7   6.6   2.3   0.0   0.0   3.9   7.4  12.4  23.2   117.1
LEADVILLE 2 SW            | 1976-2008 |  17.9  18.1  21.4  23.8   8.2   1.7   0.1   0.0   2.0  10.0  19.5  19.5   142.2
LEMON DAM                 | 1982-2010 |  31.8  29.8  23.6  11.5   1.2   0.0   0.0   0.0   0.0   3.8  19.6  27.7   149.0
LEROY 5 WSW               | 1948-2010 |   6.2   5.6   9.4   6.2   0.9   0.0   0.0   0.0   0.5   2.4   6.3   6.5    44.0
LIME 3 SE                 | 1948-1968 |   7.1   7.1   7.6   3.5   0.2   0.0   0.1   0.0   0.7   1.2   3.9   4.7    36.1
LIMON 10 SSW              | 1948-1971 |   4.1   2.8   7.9   2.9   0.9   0.0   0.0   0.0   0.2   1.7   3.2   2.2    25.9
LIMON                     | 1948-1971 |   3.7   2.6   7.2   2.6   0.4   0.0   0.0   0.0   0.5   2.4   3.6   2.8    25.8
LIMON WSMO                | 1971-1999 |   5.0   4.3   7.4   4.5   1.9   0.0   0.0   0.0   0.5   2.8   6.3   4.3    37.0
LIMON HASS RANCH          | 1956-2010 |   3.5   2.7   6.0   5.3   0.1   0.0   0.0   0.0   0.4   2.6   2.8   2.6    26.0
LINDON 4 S                | 1988-2010 |   4.7   3.4   4.0   2.6   0.0   0.0   0.0   0.0   0.7   2.9   4.9   5.3    28.5
LITTLE HILLS              | 1948-1991 |  10.7   9.1  11.4   5.1   1.0   0.1   0.0   0.0   0.0   2.4   5.9  10.5    56.2
